,height_cm
213,173.0
214,178.0
215,157.0
216,190.0
217,178.0
218,183.0
219,168.0
220,163.0
221,175.0
222,185.0
223,175.0
224,183.0
225,175.0
226,170.0
227,178.0
228,180.0
229,178.0
230,165.0
231,175.0
232,168.0
233,183.0
234,175.0
235,163.0
236,221.0
237,183.0
238,175.0
239,188.0
240,180.0
241,180.0
242,168.0
243,178.0
244,183.0
245,188.0
246,165.0
247,168.0
248,175.0
249,163.0
250,185.0
251,178.0
252,180.0
253,175.0
254,170.0
255,170.0
256,168.0
257,173.0
258,178.0
259,173.0
260,175.0
261,183.0
262,183.0
263,168.0
264,178.0
265,180.0
266,168.0
267,185.0
268,190.0
269,183.0
270,190.0
271,175.0
272,178.0
273,165.0
274,178.0
275,160.0
276,178.0
277,175.0
278,173.0
279,196.0
280,178.0
281,185.0
282,183.0
283,168.0
284,173.0
285,178.0
286,168.0
287,168.0
288,165.0
289,190.0
290,168.0
291,180.0
292,175.0
293,188.0
294,175.0
295,180.0
296,175.0
297,170.0
298,173.0
299,180.0
300,163.0
301,168.0
302,183.0
303,183.0
304,180.0
305,180.0
306,198.0
307,180.0
308,180.0
309,175.0
310,188.0
311,180.0
312,165.0
313,173.0
314,170.0
315,180.0
316,175.0
317,183.0
318,180.0
319,175.0
320,175.0
321,180.0
322,168.0
323,188.0
324,183.0
325,173.0
326,175.0
327,170.0
328,185.0
329,198.0
330,175.0
331,193.0
332,168.0
333,178.0
334,188.0
335,178.0
336,168.0
337,168.0
338,183.0
339,190.0
340,185.0
341,173.0
342,178.0
343,170.0
344,178.0
345,168.0
346,178.0
347,196.0
348,180.0
349,163.0
350,185.0
351,183.0
352,183.0
353,185.0
354,168.0
355,175.0
356,173.0
357,175.0
358,180.0
359,173.0
360,178.0
361,170.0
362,160.0
363,173.0
364,185.0
365,165.0
366,173.0
367,168.0
368,168.0
369,188.0
370,190.0
371,168.0
372,183.0
373,190.0
374,180.0
375,188.0
376,175.0
377,170.0
378,175.0
379,185.0
380,178.0
381,188.0
382,175.0
383,173.0
384,180.0
385,180.0
386,190.0
387,168.0
388,168.0
389,178.0
390,170.0
391,168.0
392,170.0
393,175.0
394,178.0
395,183.0
396,170.0
397,168.0
398,183.0
399,198.0
400,183.0
401,178.0
402,170.0
403,175.0
404,165.0
405,168.0
406,165.0
407,185.0
408,175.0
409,188.0
410,175.0
411,190.0
412,178.0
413,185.0
414,180.0
415,160.0
416,183.0
417,193.0
418,168.0
419,170.0
420,170.0
421,168.0
422,180.0
423,168.0
424,190.0
425,173.0
426,170.0
427,175.0
428,178.0
429,163.0
430,170.0
431,183.0
432,173.0
433,178.0
434,180.0
435,188.0
436,183.0
437,185.0
438,188.0
439,175.0
440,170.0
441,183.0
442,173.0
443,175.0
444,175.0
445,180.0
446,190.0
447,178.0
448,193.0
449,175.0
450,180.0
451,183.0
452,183.0
453,188.0
454,178.0
455,190.0
456,168.0
457,188.0
458,160.0
459,178.0
460,185.0
461,175.0
462,178.0
463,180.0
464,170.0
465,185.0
466,178.0
467,173.0
468,180.0
469,175.0
470,178.0
471,178.0
472,180.0
473,180.0
474,180.0
475,178.0
476,173.0
477,183.0
478,180.0
479,173.0
480,178.0
481,163.0
482,165.0
483,185.0
484,175.0
485,170.0
486,188.0
487,152.0
488,196.0
489,180.0
490,168.0
491,175.0
492,168.0
493,168.0
494,185.0
495,185.0
496,170.0
497,173.0
498,173.0
499,173.0
500,188.0
501,170.0
502,180.0
503,185.0
504,175.0
505,170.0
506,173.0
507,180.0
508,178.0
509,175.0
510,178.0
511,183.0
512,178.0
513,173.0
514,178.0
515,180.0
516,170.0
517,180.0
518,175.0
519,183.0
520,173.0
521,163.0
522,173.0
523,178.0
524,185.0
525,173.0
526,183.0
527,178.0
528,180.0
529,180.0
530,175.0
531,188.0
532,175.0
533,173.0
534,173.0
535,190.0
536,183.0
537,175.0
538,180.0
539,185.0
540,180.0
541,175.0
542,173.0
543,173.0
544,183.0
545,193.0
546,178.0
547,165.0
548,178.0
549,180.0
550,180.0
551,183.0
552,180.0
553,168.0
554,193.0
555,173.0
556,193.0
557,180.0
558,178.0
559,180.0
560,175.0
561,175.0
562,178.0
563,175.0
564,183.0
565,183.0
566,170.0
567,175.0
568,165.0
569,173.0
570,183.0
571,175.0
572,173.0
573,178.0
574,183.0
575,178.0
576,180.0
577,190.0
578,175.0
579,178.0
580,170.0
581,175.0
582,188.0
583,178.0
584,175.0
585,175.0
586,175.0
587,183.0
588,175.0
589,180.0
590,178.0
591,180.0
592,185.0
593,170.0
594,183.0
595,178.0
596,185.0
597,183.0
598,173.0
599,180.0
600,175.0
601,185.0
602,183.0
603,173.0
604,180.0
605,175.0
606,175.0
607,183.0
608,180.0
609,185.0
610,185.0
611,168.0
612,163.0
613,175.0
614,168.0
615,168.0
616,165.0
617,173.0
618,180.0
619,165.0
620,170.0
621,180.0
622,185.0
623,173.0
624,175.0
625,173.0
626,183.0
627,175.0
628,170.0
629,183.0
630,178.0
631,175.0
632,175.0
633,180.0
634,188.0
635,173.0
636,193.0
637,168.0
638,180.0
639,170.0
640,175.0
641,178.0
642,168.0
643,175.0
644,183.0
645,185.0
646,168.0
647,193.0
648,183.0
649,170.0
650,173.0
651,173.0
652,175.0
653,178.0
654,168.0
655,178.0
656,178.0
657,180.0
658,163.0
659,175.0
660,180.0
661,178.0
662,188.0
663,183.0
664,170.0
665,180.0
666,175.0
667,178.0
668,173.0
669,218.0
670,175.0
671,196.0
672,180.0
673,183.0
674,190.0
675,188.0
676,183.0
677,180.0
678,180.0
679,173.0
680,185.0
681,178.0
682,175.0
683,180.0
684,163.0
685,168.0
686,180.0
687,180.0
688,173.0
689,175.0
690,185.0
691,165.0
692,168.0
693,180.0
694,188.0
695,175.0
696,175.0
697,185.0
698,196.0
699,193.0
700,190.0
701,180.0
702,183.0
703,170.0
704,203.0
705,173.0
706,185.0
707,173.0
708,180.0
709,173.0
710,175.0
711,163.0
712,180.0
713,173.0
714,198.0
715,173.0
716,175.0
717,173.0
718,173.0
719,170.0
720,178.0
721,168.0
722,180.0
723,193.0
724,175.0
725,175.0
726,175.0
727,178.0
728,173.0
729,175.0
730,178.0
731,173.0
732,178.0
733,178.0
734,178.0
735,178.0
736,168.0
737,170.0
738,175.0
739,178.0
740,175.0
741,173.0
742,170.0
743,175.0
744,180.0
745,180.0
746,185.0
747,185.0
748,188.0
749,175.0
750,168.0
751,170.0
752,183.0
753,180.0
754,178.0
755,178.0
756,175.0
757,180.0
758,175.0
759,180.0
760,168.0
761,180.0
762,178.0
763,180.0
764,173.0
765,183.0
766,173.0
767,180.0
768,173.0
769,178.0
770,175.0
771,180.0
772,168.0
773,178.0
774,183.0
775,188.0
776,157.0
777,180.0
778,175.0
779,178.0
780,188.0
781,180.0
782,180.0
783,175.0
784,175.0
785,193.0
786,180.0
787,183.0
788,165.0
789,188.0
790,175.0
791,180.0
792,173.0
793,170.0
794,183.0
795,160.0
796,190.0
797,180.0
798,188.0
799,178.0
800,185.0
801,178.0
802,198.0
803,173.0
804,188.0
805,178.0
806,173.0
807,180.0
808,173.0
809,180.0
810,188.0
811,180.0
812,180.0
813,175.0
814,180.0
815,178.0
816,178.0
817,168.0
818,175.0
819,193.0
820,173.0
821,183.0
822,180.0
823,185.0
824,175.0
825,190.0
826,170.0
827,170.0
828,183.0
829,188.0
830,183.0
831,173.0
832,173.0
833,173.0
834,183.0
835,173.0
836,185.0
837,178.0
838,165.0
839,178.0
840,173.0
841,180.0
842,173.0
843,178.0
844,180.0
845,178.0
846,180.0
847,175.0
848,188.0
849,188.0
850,180.0
851,178.0
852,180.0
853,180.0
854,175.0
855,178.0
856,168.0
857,183.0
858,178.0
859,180.0
860,183.0
861,180.0
862,185.0
863,178.0
864,173.0
865,188.0
866,180.0
867,178.0
868,180.0
869,239.0
870,178.0
871,188.0
872,175.0
873,180.0
874,178.0
875,165.0
876,175.0
877,178.0
878,175.0
879,183.0
880,183.0
881,173.0
882,173.0
883,178.0
884,168.0
885,178.0
886,183.0
887,185.0
888,173.0
889,180.0
890,183.0
891,190.0
892,163.0
893,168.0
894,188.0
895,185.0
896,178.0
897,173.0
898,178.0
899,180.0
900,178.0
901,173.0
902,155.0
903,175.0
904,178.0
905,170.0
906,180.0
907,178.0
908,173.0
909,173.0
910,170.0
911,168.0
912,165.0
913,183.0
914,170.0
915,173.0
916,178.0
917,170.0
918,185.0
919,170.0
920,185.0
921,175.0
922,170.0
923,178.0
924,178.0
925,178.0
926,175.0
927,190.0
928,175.0
929,175.0
930,175.0
931,173.0
932,178.0
933,165.0
934,168.0
935,180.0
936,180.0
937,175.0
938,170.0
939,173.0
940,183.0
941,170.0
942,180.0
943,175.0
944,168.0
945,175.0
946,178.0
947,180.0
948,173.0
949,183.0
950,168.0
951,175.0
952,201.0
953,173.0
954,190.0
955,188.0
956,185.0
957,185.0
958,175.0
959,196.0
960,168.0
961,180.0
962,170.0
963,163.0
964,163.0
965,170.0
966,175.0
967,173.0
968,175.0
969,178.0
970,183.0
971,178.0
972,188.0
973,180.0
974,193.0
975,183.0
976,196.0
977,183.0
978,188.0
979,175.0
980,180.0
981,173.0
982,180.0
983,185.0
984,175.0
985,183.0
986,178.0
987,183.0
988,180.0
989,185.0
990,170.0
991,180.0
992,178.0
993,183.0
994,173.0
995,178.0
996,180.0
997,183.0
998,183.0
999,188.0
1000,183.0
1001,173.0
1002,175.0
1003,185.0
1004,183.0
1005,185.0
1006,188.0
1007,170.0
1008,190.0
1009,178.0
1010,188.0
1011,188.0
1012,178.0
1013,175.0
1014,178.0
1015,193.0
1016,188.0
1017,185.0
1018,168.0
1019,170.0
1020,170.0
1021,175.0
1022,170.0
1023,170.0
1024,183.0
1025,190.0
1026,178.0
1027,183.0
1028,170.0
1029,183.0
1030,188.0
1031,178.0
1032,188.0
1033,188.0
1034,173.0
1035,183.0
1036,180.0
1037,173.0
1038,188.0
1039,180.0
1040,170.0
1041,170.0
1042,180.0
1043,173.0
1044,168.0
1045,178.0
1046,193.0
1047,190.0
1048,183.0
1049,196.0
1050,188.0
1051,175.0
1052,173.0
1053,190.0
1054,183.0
1055,170.0
1056,168.0
1057,175.0
1058,185.0
1059,160.0
1060,180.0
1061,185.0
1062,188.0
1063,178.0
1064,168.0
1065,185.0
1066,185.0
1067,178.0
1068,183.0
1069,175.0
1070,185.0
1071,173.0
1072,183.0
1073,180.0
1074,183.0
1075,180.0
1076,175.0
1077,185.0
1078,188.0
1079,180.0
1080,183.0
1081,173.0
1082,165.0
1083,183.0
1084,180.0
1085,173.0
1086,170.0
1087,175.0
1088,178.0
1089,163.0
1090,180.0
1091,185.0
1092,175.0
1093,173.0
1094,180.0
1095,168.0
1096,185.0
1097,173.0
1098,183.0
1099,165.0
1100,188.0
1101,178.0
1102,185.0
1103,180.0
1104,175.0
1105,170.0
1106,175.0
1107,175.0
1108,180.0
1109,173.0
1110,173.0
1111,175.0
1112,178.0
1113,183.0
1114,170.0
1115,178.0
1116,178.0
1117,178.0
1118,178.0
1119,188.0
1120,173.0
1121,193.0
1122,183.0
1123,188.0
1124,168.0
1125,178.0
1126,175.0
1127,183.0
1128,178.0
1129,168.0
1130,180.0
1131,173.0
1132,178.0
1133,188.0
1134,183.0
1135,170.0
1136,180.0
1137,175.0
1138,178.0
1139,168.0
1140,173.0
1141,170.0
1142,173.0
1143,173.0
1144,180.0
1145,188.0
1146,183.0
1147,178.0
1148,188.0
1149,180.0
1150,178.0
1151,183.0
1152,168.0
1153,173.0
1154,173.0
1155,180.0
1156,178.0
1157,170.0
1158,170.0
1159,168.0
1160,170.0
1161,178.0
1162,183.0
1163,188.0
1164,170.0
1165,183.0
1166,185.0
1167,180.0
1168,173.0
1169,178.0
1170,185.0
1171,185.0
1172,175.0
1173,178.0
1174,168.0
1175,178.0
1176,183.0
1177,168.0
1178,185.0
1179,188.0
1180,183.0
1181,183.0
1182,175.0
1183,173.0
1184,180.0
1185,183.0
1186,185.0
1187,168.0
1188,178.0
1189,170.0
1190,180.0
1191,175.0
1192,193.0
1193,170.0
1194,193.0
1195,175.0
1196,170.0
1197,175.0
1198,183.0
1199,173.0
1200,170.0
1201,180.0
1202,188.0
1203,185.0
1204,173.0
1205,178.0
1206,173.0
1207,188.0
1208,175.0
1209,190.0
1210,196.0
1211,170.0
1212,180.0
1213,173.0
1214,180.0
1215,175.0
1216,178.0
1217,168.0
1218,183.0
1219,173.0
1220,185.0
1221,175.0
1222,183.0
1223,183.0
1224,180.0
1225,168.0
1226,175.0
1227,168.0
1228,183.0
1229,175.0
1230,178.0
1231,173.0
1232,180.0
1233,185.0
1234,175.0
1235,183.0
1236,188.0
1237,188.0
1238,168.0
1239,178.0
1240,183.0
1241,173.0
1242,190.0
1243,183.0
1244,178.0
1245,183.0
1246,168.0
1247,175.0
1248,175.0
1249,170.0
1250,173.0
1251,178.0
1252,180.0
1253,178.0
1254,183.0
1255,178.0
1256,178.0
1257,178.0
1258,163.0
1259,188.0
1260,178.0
1261,206.0
1262,180.0
1263,180.0
1264,175.0
1265,168.0
1266,173.0
1267,175.0
1268,173.0
1269,185.0
1270,188.0
1271,168.0
1272,175.0
1273,173.0
1274,183.0
1275,183.0
1276,180.0
1277,183.0
1278,190.0
1279,175.0
1280,170.0
1281,188.0
1282,183.0
1283,183.0
1284,178.0
1285,173.0
1286,183.0
1287,180.0
1288,173.0
1289,173.0
1290,183.0
1291,185.0
1292,170.0
1293,180.0
1294,178.0
1295,185.0
1296,173.0
1297,178.0
1298,173.0
1299,170.0
1300,168.0
1301,183.0
1302,183.0
1303,183.0
1304,183.0
1305,178.0
1306,188.0
1307,183.0
1308,178.0
1309,183.0
1310,173.0
1311,183.0
1312,185.0
1313,178.0
1314,185.0
1315,168.0
1316,183.0
1317,180.0
1318,183.0
1319,185.0
1320,178.0
1321,180.0
1322,183.0
1323,188.0
1324,188.0
1325,180.0
1326,188.0
1327,180.0
1328,188.0
1329,163.0
1330,185.0
1331,175.0
1332,190.0
1333,175.0
1334,183.0
1335,175.0
1336,183.0
1337,180.0
1338,178.0
1339,185.0
1340,173.0
1341,175.0
1342,188.0
1343,183.0
1344,183.0
1345,178.0
1346,168.0
1347,180.0
1348,175.0
1349,185.0
1350,175.0
1351,170.0
1352,173.0
1353,178.0
1354,178.0
1355,178.0
1356,168.0
1357,175.0
1358,180.0
1359,170.0
1360,188.0
1361,168.0
1362,173.0
1363,185.0
1364,170.0
1365,180.0
1366,175.0
1367,183.0
1368,180.0
1369,170.0
1370,198.0
1371,178.0
1372,175.0
1373,180.0
1374,183.0
1375,180.0
1376,178.0
1377,173.0
1378,185.0
1379,175.0
1380,180.0
1381,188.0
1382,168.0
1383,178.0
1384,168.0
1385,173.0
1386,178.0
1387,180.0
1388,178.0
1389,183.0
1390,175.0
1391,180.0
1392,180.0
1393,170.0
1394,170.0
1395,185.0
1396,173.0
1397,188.0
1398,163.0
1399,190.0
1400,175.0
1401,180.0
1402,188.0
1403,170.0
1404,183.0
1405,173.0
1406,180.0
1407,180.0
1408,175.0
1409,180.0
1410,180.0
1411,168.0
1412,168.0
1413,178.0
1414,163.0
1415,173.0
1416,180.0
1417,178.0
1418,165.0
1419,170.0
1420,178.0
1421,175.0
1422,180.0
1423,178.0
1424,173.0
1425,180.0
1426,178.0
1427,170.0
1428,170.0
1429,170.0
1430,178.0
1431,168.0
1432,183.0
1433,183.0
1434,175.0
1435,170.0
1436,188.0
1437,183.0
1438,175.0
1439,185.0
1440,165.0
1441,185.0
1442,180.0
1443,190.0
1444,190.0
1445,178.0
1446,175.0
1447,175.0
1448,160.0
1449,175.0
1450,183.0
1451,168.0
1452,188.0
1453,163.0
1454,175.0
1455,193.0
1456,188.0
1457,185.0
1458,173.0
1459,180.0
1460,178.0
1461,180.0
1462,190.0
1463,180.0
1464,190.0
1465,180.0
1466,168.0
1467,173.0
1468,173.0
1469,175.0
1470,183.0
1471,185.0
1472,175.0
1473,173.0
1474,165.0
1475,168.0
1476,183.0
1477,178.0
1478,170.0
1479,173.0
1480,168.0
1481,173.0
1482,180.0
1483,180.0
1484,185.0
1485,178.0
1486,155.0
1487,183.0
1488,170.0
1489,170.0
1490,163.0
1491,178.0
1492,168.0
1493,180.0
1494,173.0
1495,185.0
1496,178.0
1497,185.0
1498,185.0
1499,180.0
1500,183.0
1501,173.0
1502,183.0
1503,188.0
1504,178.0
1505,178.0
1506,196.0
1507,190.0
1508,173.0
1509,180.0
1510,185.0
1511,180.0
1512,173.0
1513,178.0
1514,175.0
1515,168.0
1516,183.0
1517,185.0
1518,180.0
1519,170.0
1520,188.0
1521,175.0
1522,165.0
1523,173.0
1524,168.0
1525,175.0
1526,183.0
1527,168.0
1528,183.0
1529,180.0
1530,183.0
1531,188.0
1532,185.0
1533,152.0
1534,190.0
1535,183.0
1536,180.0
1537,183.0
1538,190.0
1539,183.0
1540,183.0
1541,170.0
1542,183.0
1543,188.0
1544,170.0
1545,178.0
1546,173.0
1547,178.0
1548,175.0
1549,163.0
1550,168.0
1551,175.0
1552,183.0
1553,165.0
1554,183.0
1555,193.0
1556,173.0
1557,180.0
1558,175.0
1559,170.0
1560,160.0
1561,185.0
1562,173.0
1563,183.0
1564,173.0
1565,180.0
1566,168.0
1567,185.0
1568,175.0
1569,188.0
1570,190.0
1571,175.0
1572,175.0
1573,170.0
1574,190.0
1575,165.0
1576,178.0
1577,188.0
1578,180.0
1579,183.0
1580,165.0
1581,173.0
1582,168.0
1583,175.0
1584,175.0
1585,170.0
1586,175.0
1587,190.0
1588,180.0
1589,183.0
1590,175.0
1591,188.0
1592,168.0
1593,196.0
1594,178.0
1595,180.0
1596,175.0
1597,178.0
1598,173.0
1599,178.0
1600,180.0
1601,178.0
1602,168.0
1603,160.0
1604,173.0
1605,183.0
1606,188.0
1607,175.0
1608,178.0
1609,183.0
1610,173.0
1611,183.0
1612,175.0
1613,185.0
1614,175.0
1615,183.0
1616,173.0
1617,188.0
1618,163.0
1619,180.0
1620,180.0
1621,180.0
1622,180.0
1623,193.0
1624,180.0
1625,165.0
1626,173.0
1627,168.0
1628,180.0
1629,175.0
1630,183.0
1631,178.0
1632,188.0
1633,185.0
1634,185.0
1635,183.0
1636,165.0
1637,178.0
1638,175.0
1639,175.0
1640,178.0
1641,175.0
1642,180.0
1643,168.0
1644,183.0
1645,175.0
1646,183.0
1647,190.0
1648,175.0
1649,180.0
1650,183.0
1651,175.0
1652,178.0
1653,185.0
1654,175.0
1655,180.0
1656,170.0
1657,180.0
1658,173.0
1659,185.0
1660,185.0
1661,188.0
1662,163.0
1663,175.0
1664,178.0
1665,180.0
1666,170.0
1667,165.0
1668,178.0
1669,190.0
1670,178.0
1671,183.0
1672,180.0
1673,193.0
1674,173.0
1675,165.0
1676,190.0
1677,170.0
1678,168.0
1679,180.0
1680,175.0
1681,170.0
1682,170.0
1683,175.0
1684,173.0
1685,173.0
1686,193.0
1687,173.0
1688,170.0
1689,180.0
1690,175.0
1691,183.0
1692,190.0
1693,183.0
1694,188.0
1695,175.0
1696,175.0
1697,168.0
1698,173.0
1699,173.0
1700,178.0
1701,185.0
1702,178.0
1703,188.0
1704,180.0
1705,173.0
1706,173.0
1707,165.0
1708,168.0
1709,185.0
1710,185.0
1711,178.0
1712,188.0
1713,175.0
1714,173.0
1715,175.0
1716,168.0
1717,173.0
1718,178.0
1719,173.0
1720,180.0
1721,175.0
1722,196.0
1723,180.0
1724,173.0
1725,185.0
1726,180.0
1727,185.0
1728,183.0
1729,183.0
1730,175.0
1731,173.0
1732,185.0
1733,168.0
1734,173.0
1735,190.0
1736,168.0
1737,185.0
1738,170.0
1739,183.0
1740,183.0
1741,180.0
1742,183.0
1743,183.0
1744,165.0
1745,168.0
1746,178.0
1747,175.0
1748,188.0
1749,183.0
1750,183.0
1751,175.0
1752,173.0
1753,180.0
1754,173.0
1755,170.0
1756,178.0
1757,185.0
1758,180.0
1759,183.0
1760,185.0
1761,185.0
1762,175.0
1763,185.0
1764,173.0
1765,188.0
1766,165.0
1767,173.0
1768,185.0
1769,178.0
1770,168.0
1771,185.0
1772,178.0
1773,175.0
1774,196.0
1775,193.0
1776,173.0
1777,180.0
1778,168.0
1779,188.0
1780,175.0
1781,178.0
1782,188.0
1783,178.0
1784,190.0
1785,183.0
1786,196.0
1787,193.0
1788,183.0
1789,178.0
1790,168.0
1791,173.0
1792,183.0
1793,180.0
1794,178.0
1795,183.0
1796,170.0
1797,183.0
1798,178.0
1799,190.0
1800,185.0
1801,175.0
1802,178.0
1803,175.0
1804,170.0
1805,175.0
1806,183.0
1807,190.0
1808,180.0
1809,175.0
1810,170.0
1811,183.0
1812,170.0
1813,170.0
1814,183.0
1815,180.0
1816,180.0
1817,183.0
1818,180.0
1819,178.0
1820,185.0
1821,188.0
1822,175.0
1823,180.0
1824,173.0
1825,170.0
1826,190.0
1827,173.0
1828,175.0
1829,180.0
1830,178.0
1831,190.0
1832,178.0
1833,190.0
1834,188.0
1835,173.0
1836,185.0
1837,173.0
1838,180.0
1839,178.0
1840,165.0
1841,160.0
1842,190.0
1843,173.0
1844,175.0
1845,173.0
1846,173.0
1847,185.0
1848,185.0
1849,185.0
1850,185.0
1851,173.0
1852,175.0
1853,178.0
1854,183.0
1855,175.0
1856,178.0
1857,185.0
1858,180.0
1859,178.0
1860,180.0
1861,183.0
1862,165.0
1863,180.0
1864,175.0
1865,175.0
1866,178.0
1867,175.0
1868,180.0
1869,188.0
1870,183.0
1871,178.0
1872,175.0
1873,175.0
1874,163.0
1875,170.0
1876,185.0
1877,178.0
1878,170.0
1879,180.0
1880,190.0
1881,185.0
1882,178.0
1883,180.0
1884,175.0
1885,168.0
1886,178.0
1887,183.0
1888,170.0
1889,175.0
1890,175.0
1891,168.0
1892,175.0
1893,183.0
1894,183.0
1895,185.0
1896,185.0
1897,170.0
1898,185.0
1899,185.0
1900,178.0
1901,185.0
1902,183.0
1903,190.0
1904,178.0
1905,183.0
1906,170.0
1907,183.0
1908,173.0
1909,170.0
1910,170.0
1911,175.0
1912,188.0
1913,180.0
1914,183.0
1915,183.0
1916,183.0
1917,175.0
1918,180.0
1919,175.0
1920,183.0
1921,190.0
1922,193.0
1923,168.0
1924,196.0
1925,185.0
1926,178.0
1927,152.0
1928,170.0
1929,183.0
1930,178.0
1931,175.0
1932,165.0
1933,175.0
1934,173.0
1935,185.0
1936,175.0
1937,175.0
1938,185.0
1939,178.0
1940,173.0
1941,178.0
1942,180.0
1943,175.0
1944,175.0
1945,170.0
1946,185.0
1947,175.0
1948,188.0
1949,173.0
1950,173.0
1951,175.0
1952,178.0
1953,178.0
1954,180.0
1955,198.0
1956,188.0
1957,170.0
1958,170.0
1959,178.0
1960,185.0
1961,173.0
1962,168.0
1963,175.0
1964,170.0
1965,157.0
1966,175.0
1967,193.0
1968,170.0
1969,188.0
1970,168.0
1971,178.0
1972,193.0
1973,173.0
1974,178.0
1975,173.0
1976,175.0
1977,180.0
1978,188.0
1979,178.0
1980,180.0
1981,157.0
1982,203.0
1983,178.0
1984,175.0
1985,183.0
1986,185.0
1987,180.0
1988,178.0
1989,175.0
1990,175.0
1991,175.0
1992,170.0
1993,168.0
1994,175.0
1995,185.0
1996,188.0
1997,175.0
1998,175.0
1999,170.0
2000,175.0
2001,188.0
2002,173.0
2003,165.0
2004,173.0
2005,178.0
2006,183.0
2007,178.0
2008,180.0
2009,178.0
2010,183.0
2011,183.0
2012,185.0
2013,190.0
2014,185.0
2015,168.0
2016,180.0
2017,183.0
2018,178.0
2019,160.0
2020,180.0
2021,175.0
2022,173.0
2023,173.0
2024,180.0
2025,188.0
2026,183.0
2027,183.0
2028,178.0
2029,178.0
2030,175.0
2031,173.0
2032,160.0
2033,193.0
2034,180.0
2035,178.0
2036,180.0
2037,173.0
2038,180.0
2039,175.0
2040,178.0
2041,183.0
2042,163.0
2043,178.0
2044,196.0
2045,170.0
2046,183.0
2047,188.0
2048,183.0
2049,175.0
2050,170.0
2051,188.0
2052,168.0
2053,168.0
2054,180.0
2055,178.0
2056,173.0
2057,175.0
2058,168.0
2059,178.0
2060,190.0
2061,170.0
2062,188.0
2063,170.0
2064,175.0
2065,185.0
2066,168.0
2067,190.0
2068,178.0
2069,183.0
2070,175.0
2071,165.0
2072,165.0
2073,170.0
2074,173.0
2075,180.0
2076,178.0
2077,175.0
2078,178.0
2079,175.0
2080,180.0
2081,178.0
2082,183.0
2083,175.0
2084,183.0
2085,178.0
2086,178.0
2087,173.0
2088,173.0
2089,170.0
2090,173.0
2091,185.0
2092,178.0
2093,180.0
2094,178.0
2095,165.0
2096,183.0
2097,175.0
2098,180.0
2099,193.0
2100,175.0
2101,165.0
2102,178.0
2103,178.0
2104,185.0
2105,188.0
2106,190.0
2107,170.0
2108,178.0
2109,173.0
2110,175.0
2111,178.0
2112,175.0
2113,178.0
2114,170.0
2115,175.0
2116,180.0
2117,165.0
2118,168.0
2119,178.0
2120,188.0
2121,178.0
2122,185.0
2123,168.0
2124,180.0
2125,178.0
2126,173.0
2127,168.0
2128,170.0
2129,168.0
2130,190.0
2131,178.0
2132,173.0
2133,178.0
2134,175.0
2135,165.0
2136,175.0
2137,180.0
2138,190.0
2139,185.0
2140,168.0
